ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,Comments
297,1058,43,Colby,1.00,0.00,0.00,0.00,0.00,0.00,5.00,3.00,3.00,3.00,2.00,0.00,3.00,Can pick from the floor. Got stuck on bump. Worked well with teammates. 
298,246,5,Jeanette ,1.00,2.00,2.00,0.00,0.00,0.00,4.00,1.00,2.00,0.00,2.00,0.00,2.00,Can go underneath trench. Pushed more balls to side than picked up then at the end started to pick up balls. no accuracy in shooting got very few balls in
299,1922,6,Jeanette ,1.00,2.00,1.00,1.00,0.00,0.00,3.00,3.00,3.00,2.00,0.00,0.00,4.00,Too tall for trench. accurate shooting. can shoot accurate while picking up balls. long distance shooter. gets stuck on the balls a lot though. ran defence and did well.
300,6201,7,Jeanette ,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK!  no movement in auto. short distance shooter. no accuracy few balls went in. can go under if hanger is down. good pushing balls. attempted a climb not successful.
301,6367,8,Jeanette ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! 
302,3566,9,Jeanette ,1.00,1.00,1.00,0.00,0.00,0.00,4.00,3.00,2.00,0.00,0.00,0.00,2.00,can go under trench. long and mid distance shooter. no accuracy in shooting most of the game but last 1\4 of match starting making more balls at the mid distance. decent at moving balls to their side but also did it several times to the other side.
303,10912,10,Jeanette ,1.00,3.00,2.00,3.00,0.00,0.00,1.00,1.00,1.00,0.00,3.00,0.00,3.00,fantastic at defence! very fast got most shots in auto a mid distance. can go under trench. great ball pusher but did not pick up to many balls. 
304,246,11,Jeanette ,1.00,3.00,3.00,2.00,3.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,fast can go underneath trench. short distance shooting. good at pushing balls back to their side. defence from other side so good they could not get back on their side and blocked from shooting 
305,1761,12,Jeanette ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! 
306,8626,13,Jeanette ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Broke down. 
307,133,14,scott,1.00,3.00,3.00,3.00,0.00,0.00,9.00,3.00,3.00,3.00,2.00,0.00,5.00,Can pick from the floor. Can go underneath trench. 
308,3205,15,Jeanette ?fykbxx¥,1.00,2.00,2.00,2.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,Got a fuel stuck inside. Can go underneath trench. Long and mid distance shooter. accuracy comes and goes messy run
309,1721,16,Jeanette ?fykbxx¥,1.00,3.00,0.00,0.00,0.00,0.00,6.00,3.00,3.00,3.00,2.00,0.00,1.00,Can pick from the outpost. Can pick from the floor. Can go underneath trench. When it went it went fast but it hardly left the front of the hooper.
310,4311,17,Jeanette ?fykbxx¥,1.00,2.00,0.00,0.00,0.00,0.00,7.00,1.00,1.00,1.00,2.00,0.00,2.00,Too tall for trench. Missed shooting fuel into hub a lot. Had technical issues.
311,10912,18,Jeanette ?fykbxx¥,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,1.00,Very fast but hits everything. Can go underneath trench. Played defense. did not pick up any balls. mid distance shooter during auto.
312,78,19,Jeanette ?fykbxx¥,1.00,3.00,3.00,3.00,2.00,0.00,3.00,1.00,1.00,1.00,2.00,0.00,1.00,shooter and pick up broke. too tall for trench. 
313,2877,20,Jeanette  ,0.00,0.00,0.00,0.00,2.00,0.00,4.00,2.00,2.00,2.00,2.00,0.00,3.00,can pick up and shoot at the same time. mid to slightly long distance shooter
314,151,21,Jeanette  ,2.00,2.00,0.00,0.00,0.00,0.00,5.00,3.00,2.00,2.00,2.00,0.00,3.00,Can pick from the outpost. Was not bad
315,1761,22,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! 
316,10912,23,Jeanette  ,1.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Fast. amazing defensive work may be best at defense all day. did not pick up any balls or shoot
317,125,24,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,1.00,3.00,3.00,3.00,3.00,0.00,5.00,Can pick from the floor. Can pick from the outpost. Can go underneath trench. long distance shooter. Large capacity Hopper. was a big target through the game by other robots doing defense. 
318,5813,25,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,2.00,3.00,2.00,0.00,5.00,Long distance shooter. too tall to go under. Can pick from the floor. Can pick from the outpost. large hopper
319,1721,26,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,0.00,0.00,0.00,2.00,they were slow getting balls and moving around
320,69,27,Jeanette  ,1.00,1.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,0.00,0.00,0.00,1.00,DON'T PICK Can pick from the floor. Can pick from the outpost. Can go underneath trench. Picked a lot of balls made 2. did not add balls to the section only picked them up to shoot.
321,2876,28,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00, Can go underneath trench. Good ball pusher decent defense and getting away from defense.
322,10156,29,Jeanette  ,1.00,3.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! 
323,2423,30,Jeanette  ,1.00,2.00,0.00,0.00,0.00,0.00,5.00,1.00,1.00,1.00,0.00,0.00,0.00,Broke down. (intake) needed a full stop damage so bad
324,6731,31,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Played defense. Was okay at it.
325,1058,32,Jeanette  ,1.00,3.00,3.00,3.00,3.00,0.00,1.00,3.00,3.00,2.00,0.00,0.00,2.00,Large hopper shoots well but had a terrible round. ran into a lot and spent second half doing nothing. was taking heavy hits from the other team playing defense.
326,2877,33,Jeanette  ,2.00,3.00,0.00,0.00,0.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,5.00,fast and accurate. long distance shooter. Can pick from the floor. Can pick from the outpost. Can go underneath trench. Feeds ball to their side well. targets by other team defence and did well shaking them off. smaller hooper.
327,6367,34,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,1.00,1.00,0.00,0.00,2.00,Can go underneath trench. Mid distance shooter. did not bring any balls to their side. 
328,238,35,Jeanette  ,2.00,3.00,3.00,3.00,3.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,5.00,Too tall for trench. long and mid distance shooter. large hopper. 
329,4169,36,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,DON'T PICK! played defense but was terrible at it.
330,2084,37,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! Can go underneath trench. Went around in circles
331,1058,38,Jeanette  ,1.00,2.00,0.00,0.00,0.00,0.00,4.00,3.00,3.00,3.00,3.00,0.00,4.00,"Can pick up balls, shoots from far away holds alot of balls"
332,433,39,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,1.00,1.00,0.00,0.00,2.00,Can go underneath trench. Spent entire time in shooting position but hardly shot but when they did it was good. intake looks like may be having an issue.
333,10156,40,Jeanette  ,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,rough defense entire time but effective.  may or may not have gotten a penalty. fast and small.
334,2423,41,Jeanette  ,1.00,3.00,3.00,2.00,3.00,0.00,5.00,3.00,3.00,3.00,3.00,0.00,5.00,Large hopper. took a beat from defense but held its own well. long and mid distance shooter. Can pick from the floor. Can go underneath trench. Can pick from the outpost. 
335,151,42,Jeanette  ,2.00,3.00,2.00,3.00,1.00,0.00,7.00,2.00,1.00,3.00,1.00,0.00,3.00,Fast to move but so very slow to intake balls. small hopper. great at pushing balls to their side. Can go underneath trench. Can pick from the floor. 
336,238,43,Jeanette  ,2.00,2.00,3.00,3.00,3.00,0.00,6.00,3.00,3.00,3.00,3.00,0.00,5.00,Larger hopper fast to reload. mid distance shooter. was a target for the defense from other team. too tall for trench. 
337,11483,44,Jeanette  ,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,No hopper. no shooter. good a defense and pushing balls 
338,133,45,Jeanette  ,1.00,0.00,0.00,0.00,0.00,0.00,3.00,2.00,1.00,2.00,2.00,0.00,0.00,Not a good round 
339,2877,1,Thomas,1.00,1.00,2.00,2.00,2.00,0.00,7.00,3.00,3.00,3.00,2.00,0.00,4.00,Can pick from the floor. Can go underneath trench. 
340,133,2,Thomas,0.00,2.00,3.00,0.00,2.00,0.00,8.00,3.00,3.00,2.00,3.00,0.00,5.00,Can pick from the floor. Can go underneath trench. I will pick this team
341,10912,3,Thomas,1.00,3.00,1.00,2.00,2.00,0.00,2.00,3.00,1.00,2.00,3.00,0.00,4.00,"Very fast, Can pick from the floor. Can go underneath trench. Played defense. "
342,6731,4,Thomas,1.00,2.00,2.00,1.00,2.00,0.00,2.00,2.00,3.00,2.00,2.00,0.00,3.00,Can pick from the floor. Missed shooting fuel into hub a lot. Can go underneath trench. 
343,10156,5,Thomas,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,2.00,0.00,2.00,Can pick from the outpost. Played defense. 
344,78,6,Td,1.00,2.00,3.00,2.00,2.00,0.00,4.00,3.00,3.00,2.00,3.00,0.00,5.00,Gather and shoots Can pick from the floor. Can pick from the outpost. 
345,433,7,pat,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,0.00,2.00,0.00,2.00,Can pick from the floor. Missed shooting fuel into hub a lot. Can go underneath trench.  bad driver looked like people dont know how to drive and shoot-pat
346,133,8,pat,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,DON'T PICK! Broke down. 
347,3958,9,Jennifer,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,3.00,Played defense. Push fuel around. Can go underneath trench. 
348,2423,10,Jennifer,0.00,0.00,0.00,0.00,0.00,0.00,10.00,3.00,2.00,3.00,3.00,0.00,5.00,Can pick from the floor. Can go underneath trench. Only picked up fuel during auto.
349,11483,11,James,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Missed match for lunch
350,1058,12,James,1.00,2.00,2.00,2.00,2.00,0.00,3.00,3.00,3.00,2.00,2.00,0.00,3.00,Stuck during auto.
351,2877,13,James,1.00,1.00,1.00,0.00,0.00,0.00,9.00,2.00,1.00,2.00,2.00,0.00,0.00,"low inv
"
352,133,14,James,1.00,3.00,3.00,3.00,3.00,0.00,7.00,3.00,3.00,3.00,3.00,0.00,3.00,DON'T PICK! 
353,433,15,James,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,1.00,0.00,2.00,Can pick from the floor. 
354,151,16,James,1.00,2.00,1.00,2.00,2.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,4.00,Got hit
355,2713,17,James,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,Nothing
356,5735,18,James,0.00,0.00,0.00,0.00,0.00,0.00,4.00,2.00,1.00,2.00,2.00,0.00,3.00,No atuo
357,6201,19,James,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,2.00,1.00,1.00,0.00,0.00,Nothing
358,3205,20,James,1.00,3.00,2.00,2.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Parked under the fixed blue trench then sat there most of tele-op.  jean
359,9443,21,pat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,Robot did nothing just moved around did not shoot or pick up just drove 
360,6367,22,pat,0.00,0.00,0.00,0.00,0.00,0.00,4.00,1.00,3.00,3.00,2.00,0.00,3.00,Can pick from the floor. Robot had issues shooting fuel got stuck and would not fire would pick well rounded robot single shooter
361,4761,23,pat,1.00,3.00,0.00,3.00,0.00,0.00,3.00,3.00,3.00,3.00,3.00,0.00,0.00,Can pick from the floor. Can go underneath trench. I realy like this robot its fast and good would definitely have first pick
362,6731,24,pat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,Played defense. Can go underneath trench. Caused a penalty. 
363,6201,25,pat,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,3.00,2.00,1.00,3.00,Can pick from the floor. Got a fuel stuck inside. Can go underneath trench. Played defense sort of. 
364,5563,26,pat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Dead battery DON'T PICK! Played defense. Caused a penalty. Had technical issues. 
365,4546,27,pat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,1.00,Had technical issues. Can go underneath trench. Robot just moved around did not grab or shoot
366,246,28,scott,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,lobstahs Played defense. Caused a penalty.  did not shoot or grab
367,4761,29,scott,1.00,3.00,2.00,0.00,0.00,0.00,4.00,2.00,2.00,2.00,0.00,0.00,3.00,Can pick from the floor. Missed shooting fuel into hub a lot. 
368,5563,30,scott,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Did not show
369,1922,31,scott,1.00,1.00,1.00,1.00,0.00,0.00,4.00,2.00,2.00,3.00,1.00,0.00,2.00,Balls stuck in intake
370,97,32,scott,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,DON'T PICK! 
371,5735,33,scott,1.00,3.00,3.00,3.00,0.00,0.00,3.00,2.00,2.00,1.00,1.00,0.00,2.00,Can pick from the floor. Missed shooting fuel into hub a lot. 
372,69,34,pat,2.00,2.00,2.00,2.00,1.00,0.00,4.00,1.00,2.00,2.00,2.00,0.00,3.00,Can pick from the floor. Can go underneath trench. Middle of the road could be 3rd pick
373,88,35,pat,2.00,3.00,3.00,3.00,3.00,0.00,9.00,3.00,3.00,3.00,3.00,0.00,5.00,Can pick from the floor. Can go underneath trench. Supercharged very good
374,5459,36,pat,1.00,1.00,0.00,0.00,0.00,1.00,0.00,3.00,2.00,2.00,2.00,0.00,2.00,robot had auto climb shooter and Hopper loose broken had difficulty going under trench
375,125,37,pat,1.00,3.00,3.00,3.00,3.00,0.00,6.00,3.00,3.00,3.00,3.00,0.00,5.00,So many balls very good 1st pick and can shoot from anywhere
376,151,38,the goat,2.00,3.00,2.00,2.00,2.00,0.00,5.00,3.00,2.00,1.00,2.00,0.00,3.00,Broke after defended. but regained control
377,2084,43,pat,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
378,8626,44,pat,0.00,0.00,0.00,0.00,0.00,0.00,1.00,2.00,1.00,1.00,2.00,0.00,2.00,Can pick from the floor. Can go underneath trench. 
379,5735,45,jamesp],1.00,2.00,2.00,2.00,2.00,0.00,5.00,2.00,2.00,1.00,2.00,0.00,3.00,Missed shooting fuel into hub a lot. 
