ID,TeamNumber,MatchNumber,ScoutName,AutoNumberOfCycles,AutoShootingSpeed,AutoBallsPerCycle,AutoAccuracy,AutoRobotSpeed,AutoClimbingLevel,TeleNumberOfCycles,TeleShootingSpeed,TeleBallsPerCycle,TeleAccuracy,TeleRobotSpeed,TeleClimbingLevel,Score,Comments
175,3566,2,colby,0.00,1.00,0.00,2.00,0.00,0.00,4.00,1.00,1.00,2.00,1.00,0.00,1.00,Slow and didn't move a lot. Could do trench.
176,3205,3,colby,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,Only played offence and attacked other teams robots
177,2423,4,colby,0.00,0.00,0.00,0.00,1.00,0.00,5.00,2.00,1.00,3.00,1.00,0.00,2.00,Broke the entire front of robot but still managed to help their team. Wrong intake height for trench.
178,5735,5,colby,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Didn't move or shoot at all
179,2876,6,colby,0.00,0.00,0.00,0.00,0.00,0.00,5.00,2.00,2.00,1.00,2.00,0.00,2.00,Can go underneath trench. Can pick from the floor. Missed shooting fuel into hub a lot. Broke from being rammed into. Struggled with bump.
180,5459,7,colby,1.00,2.00,2.00,1.00,1.00,0.00,3.00,2.00,2.00,1.00,2.00,0.00,2.00,Can pick from the floor. Missed shooting fuel into hub a lot. Tried to climb but failed. Can go underneath trench. 
181,97,8,colby,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,Can pick from the floor. Can go underneath trench. 
182,5563,9,scott,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,1.00,Played defense. No auto. only shot once
183,125,10,scott,0.00,0.00,3.00,0.00,3.00,0.00,9.00,3.00,3.00,3.00,3.00,0.00,5.00,Can pick from the floor. Can go underneath trench. 
184,88,12,DAB,1.00,3.00,2.00,3.00,2.00,0.00,1.00,3.00,0.00,0.00,2.00,0.00,0.00,"they stated moving fuel because the war something arguing with the robot. They also couldn't get under the bar for quite a while, and they didn't to other the speed bump."
185,5735,13,jean,1.00,2.00,1.00,2.00,1.00,0.00,9.00,2.00,2.00,2.00,1.00,0.00,0.00,slow but steady. can shoot about 10 balls or round. Also moves fuel during off time to their side.
186,1922,14,jean,0.00,0.00,0.00,0.00,0.00,0.00,6.00,1.00,2.00,3.00,1.00,0.00,0.00,Shots about 20 or so fuel per cycle.
187,3205,15,DAB,1.00,1.00,1.00,2.00,1.00,0.00,1.00,1.00,1.00,2.00,0.00,0.00,0.00,"had trouble with inake,  stopped working for 20 sec.
"
188,1727,16,DAB,1.00,2.00,2.00,2.00,0.00,0.00,3.00,2.00,2.00,2.00,1.00,0.00,0.00,
189,4546,17,DAB,0.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,2.00,2.00,2.00,0.00,2.00,"Broke down. 
"
190,125,18,DAB,2.00,3.00,3.00,3.00,3.00,0.00,6.00,3.00,3.00,3.00,3.00,0.00,0.00,"Fast, did miss some at the  end.
"
191,8626,19,DAB,1.00,2.00,2.00,3.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Broke down.  right after auto

"
192,1922,20,DAB,1.00,2.00,2.00,2.00,2.00,0.00,4.00,2.00,3.00,0.00,0.00,0.00,0.00,
193,2713,21,DAB,2.00,3.00,3.00,3.00,3.00,0.00,4.00,3.00,3.00,3.00,3.00,0.00,0.00,"Good bot
"
194,69,22,DAB,1.00,2.00,2.00,2.00,2.00,0.00,4.00,2.00,2.00,1.00,2.00,0.00,0.00,
195,246,23,DAB,1.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,Got stuck on ramp for awhile.
196,433,24,DAB,1.00,1.00,1.00,1.00,1.00,0.00,1.00,1.00,1.00,1.00,1.00,0.00,0.00,Played defense. 
197,5459,25,DAB,2.00,2.00,2.00,2.00,2.00,1.00,2.00,2.00,1.00,1.00,1.00,1.00,0.00,
198,151,26,DAB,1.00,1.00,2.00,2.00,2.00,0.00,7.00,2.00,1.00,2.00,2.00,0.00,0.00,
199,8626,27,DAB,0.00,1.00,1.00,1.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Played defense. 
200,6367,28,DAB,0.00,0.00,0.00,0.00,0.00,0.00,3.00,1.00,1.00,1.00,1.00,0.00,1.00,DON'T PICK! 
201,3566,29,DAB,2.00,3.00,3.00,3.00,3.00,0.00,4.00,1.00,1.00,1.00,1.00,0.00,2.00,Really good auto. not great teleop
202,1761,30,DAB,1.00,1.00,1.00,1.00,1.00,0.00,2.00,1.00,1.00,1.00,1.00,0.00,1.00,Lined up to shoot. shot backwards
203,238,31,DAB,2.00,2.00,2.00,2.00,2.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,Stopped watchjng . trying to find balieys bag. they were good but not good gkod.
204,4546,32,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Stopped moving. rsl was on.
205,4761,33,DAB,1.00,2.00,2.00,2.00,2.00,0.00,3.00,2.00,3.00,3.00,0.00,0.00,3.00,
206,5563,34,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Was not shooting. then stopped.
207,433,35,DAB,0.00,0.00,0.00,0.00,0.00,0.00,2.00,1.00,1.00,1.00,2.00,0.00,0.00,
208,78,36,DAB,1.00,1.00,1.00,1.00,1.00,0.00,3.00,1.00,1.00,1.00,2.00,0.00,0.00,Spit some out before shooting each time.
209,3958,37,DAB,1.00,3.00,3.00,3.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Feeder bot. Played defense. Played defense. 
210,6731,38,DAB,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Played defense. 
211,2713,39,DAB,1.00,2.00,2.00,2.00,2.00,0.00,4.00,3.00,3.00,2.00,0.00,0.00,0.00,"Sometimes accurate, sometimes miss most."
